id,intersection,working,ip
8000400,CSAH 8 (West Broadway) at CSAH 9 (Rockford Rd / 42nd Ave),yes,192.168.116.41
8001000,CSAH 5 (Minnetonka Blvd) at Texas Ave,yes,192.168.112.73
8001100,CSAH 5 (Minnetonka Blvd) at Louisiana Ave,yes,192.168.112.105
8001200,CSAH 5 (Minnetonka Blvd) at Dakota Ave,yes,192.168.112.169
8002000,CSAH 3 (Excelsior Blvd) at CSAH 20 (Blake Rd),yes,192.168.53.73
8057300,CSAH 1 (Pioneer Trail) at CSAH 61 (Flying Cloud Dr),no,192.168.114.41
8002900,CSAH 53 (66th St) at Vincent Ave,yes,192.168.36.108
8003000,CSAH 32 (Penn Ave) at CSAH 53 (66th St) - Master Controller,yes,192.168.36.172
8003100,CSAH 53 (66th St) at Logan Ave,yes,192.168.36.204
8003600,CSAH 52 (Nicollet Ave) at 65th St,yes,192.168.126.41
8003900,CSAH 53 (66th St) at 12th Ave S,yes,192.168.37.44
8004000,CSAH 53 (66th St) at Bloomington Ave S - Master Controller,yes,192.168.37.76
8004400,CSAH 32 (Penn Ave) at 76th St W,yes,192.168.19.105
8004800,CSAH 5 (Minnetonka Blvd) at CSAH 101 BACKHAUL,yes,192.168.130.137
8005200,CSAH 10 (Bass Lake Rd) at Xerxes Ave N,yes,192.168.46.169
8005400,CSAH 5 (Minnetonka Blvd) at Hampshire Ave S,yes,192.168.112.137
8005700,CSAH 17 (France Ave) at 65th St W,yes,192.168.33.236
8006100,CSAH 156 (Winnetka Ave N) at Golden Valley Rd,yes,192.168.24.172
8007100,CSAH 17 (France Ave) at 84th St W BACKHAUL,yes,192.168.35.204
8007200,CSAH 35 (Portland Ave) at 90th St E,yes,192.168.128.41
8007400,CSAH 52 (Nicollet Ave) at 90th St,yes,192.168.127.73
8007600,CSAH 53 (66th St) at Sheridan Ave,yes,192.168.36.140
8037300,CSAH 1 (Pioneer Trail) at Homeward Hills Rd,no,192.168.122.201
8008600,CSAH 102 (Douglas Dr) at 36th Ave N,yes,192.168.15.73
8008800,CSAH 158 (Vernon Ave) at Interlachen Blvd,yes,192.168.131.201
8009500,CSAH 17 (France Ave) at 58th St S,yes,192.168.24.204
8009700,CSAH 32 (Penn Ave) at 64th St W / Fire Station,yes,192.168.19.9
8009900,CSAH 35 (Portland Ave) at 86th St E (BACKHAUL),yes,192.168.128.9
8010200,CSAH 156 (Winnetka Ave) at 36th Ave N,yes,192.168.23.236
8010300,CSAH 103 (West Broadway) at Candlewood Dr,yes,192.168.135.233
8012100,CSAH 9 (Rockford Rd / 42nd Ave) at Boone Ave,yes,192.168.115.73
8012600,CSAH 12 (Noble Pkwy) at 93rd Ave,yes,192.168.59.9
8013000,CSAH 52 (Nicollet Ave) at 82nd St ,yes,192.168.126.233
8013100,CSAH 10 (Bass Lake Rd) at Jersey Ave,yes,192.168.46.73
8013200,CSAH 15 (Shoreline Dr) at CSAH 19 (Shadywood Rd),yes,192.168.128.169
8013500,CSAH 10 (Bass Lake Rd) at Shingle Creek Pkwy,yes,192.168.46.233
8052100,CSAH 1 (Pioneer Trail) at Bennett Place,yes,192.168.122.233
8015400,CSAH 30 (97th Ave) at CSAH 116 (Fletcher Ln) BACKHAUL,yes,192.168.24.236
8015500,CSAH 10 (Bass Lake Rd) at Boone Ave,yes,192.168.45.233
8015700,CSAH 57 (57th Ave N) at Logan Ave N,yes,192.168.47.9
8016800,CSAH 14 (Zane Ave) at CSAH 109 (85th Ave N),yes,192.168.22.108
8017000,CSAH 34 (Normandale Blvd) at 102nd St W BACKHAUL,yes,192.168.123.233
8037400,CSAH 1 (Pioneer Trail) at Franlo Rd ,yes,192.168.123.9
8017300,CSAH 70 (Medicine Lake Rd) at Boone Ave,yes,192.168.28.236
8017900,CSAH 102 (Douglas Dr) at 47th Ave N,yes,192.168.15.41
8018200,CSAH 3 (Excelsior Blvd) at CSAH 60 (Baker Rd),yes,192.168.52.73
8018400,CSAH 1 (Old Shakopee Rd) at CSAH 34 (Normandale Blvd) ,yes,192.168.47.201
8018900,CSAH 52 (Nicollet Ave) at 79th St / American Blvd,yes,192.168.126.201
8019100,CSAH 34 (Normandale Blvd) at 98th St W,yes,192.168.123.201
8019700,CSAH 5 (Minnetonka Blvd) at Williston Rd,yes,192.168.133.201
8020600,CSAH 5 (Minnetonka Blvd) at CSAH 16 (McGinty Rd W),yes,192.168.133.233
8021000,CSAH 10 (Bass Lake Rd) at Regent Ave,yes,192.168.46.137
8021900,CSAH 52 (Nicollet Ave) at 84th St,no,192.168.127.9
8022000,CSAH 156 (Winnetka Ave) at 32nd Ave N,yes,192.168.24.11
8022300,CSAH 61 (Plymouth Rd) at Cartway Dr,yes,192.168.39.140
8022400,CSAH 1 (Old Shakopee Rd) at Xerxes Ave S,yes,192.168.47.233
8023100,CSAH 3 (Excelsior Blvd) at 8th Ave S,yes,192.168.52.169
8023600,CSAH 53 (66th St) at Lakeshore Dr / Rae Dr,yes,192.168.36.236
8023800,CSAH 5 (Minnetonka Blvd) at CSAH 61 W Jct (Plymouth Rd),yes,192.168.41.9
8023900,CSAH 3 (Excelsior Blvd) at 17th Ave S,yes,192.168.52.105
8024000,CSAH 4 (Eden Prairie Rd) at Valley View Rd,yes,192.168.133.9
8024100,CSAH 10 (Bass Lake Rd) at Zachary Ln BACKHAUL,yes,192.168.45.137
8024300,CSAH 61 (Plymouth Rd) at Ridgedale Dr,yes,192.168.39.172
8024500,CSAH 103 (West Broadway) at CSAH 130 / CSAH 152 (Brooklyn Blvd) - Master Controller,yes,192.168.33.172
8024600,CSAH 61 (Shady Oak Rd) at Bren Rd - Master Controller,yes,192.168.41.137
8024800,CSAH 9 (Rockford Rd) at Larch Ln BACKHAUL,yes,192.168.114.201
8025200,CSAH 9 (Rockford Rd) at Lancaster Ln / Nathan Ln,yes,192.168.115.9
8025300,CSAH 130 (West Broadway) at 73rd Ave N,yes,192.168.51.137
8025400,CSAH 156 (Winnetka Ave) at 10th Ave N - Master Controller,yes,192.168.24.140
8025600,CSAH 10 (Bass Lake Rd) at CSAH 152 (Brooklyn Blvd) - Master Controller,yes,192.168.23.76
