WARNING 2025-08-07 15:10:12,798 log 27520 26000 Bad Request: /api/import_video_url
INFO 2025-08-07 15:10:49,063 logger 27520 18392 get_record_schedule called
INFO 2025-08-07 15:10:49,063 logger 27520 18392 get_record_schedule called
INFO 2025-08-07 15:10:49,067 logger 27520 18392 Fetching record schedule
INFO 2025-08-07 15:10:49,067 logger 27520 18392 Fetching record schedule
INFO 2025-08-07 15:10:49,076 logger 27520 18392 Raw records fetched: 163
INFO 2025-08-07 15:10:49,076 logger 27520 18392 Raw records fetched: 163
WARNING 2025-08-07 15:11:04,512 log 27520 26000 Bad Request: /api/import_video_url
WARNING 2025-08-07 15:22:46,952 log 27520 26000 Bad Request: /api/import_video_url
WARNING 2025-08-07 15:23:11,699 log 27520 26000 Bad Request: /api/import_video_url
WARNING 2025-08-07 15:23:31,885 log 27520 26000 Bad Request: /api/import_video_url
WARNING 2025-08-07 15:24:10,039 log 27520 26000 Bad Request: /api/import_video_url
WARNING 2025-08-07 15:24:25,626 log 27520 26000 Not Found: /favicon.ico
INFO 2025-08-07 15:57:29,546 logger 16696 2532 get_record_schedule called
INFO 2025-08-07 15:57:29,546 logger 16696 2532 get_record_schedule called
INFO 2025-08-07 15:57:29,549 logger 16696 2532 Fetching record schedule
INFO 2025-08-07 15:57:29,549 logger 16696 2532 Fetching record schedule
INFO 2025-08-07 15:57:29,565 logger 16696 2532 Raw records fetched: 163
INFO 2025-08-07 15:57:29,565 logger 16696 2532 Raw records fetched: 163
WARNING 2025-08-07 15:58:07,998 logger 16696 21932 Importing videos: {'videos': [{'url': 'blob:http://localhost:5173/dc6f2f02-00a8-48b6-bbdb-a62fc1d7970e', 'ip': '123412', 'start_time': '2025-08-07T20:58:01.168Z', 'duration': 10, 'type': 'import', 'random_string': 'vjnwidg5ezrghv2ho8qypm4nxt04esn4kkrra0sirly4o5el8faga1cf31tg670r6zen71oag8prjxfv00s4dww5y1q92bxy65cp'}]}
